row.ID;study.ID;continent;taxon;taxon.specific;taxon.arthropod.order;taxon.mammal.group;taxon.forest.generalist;metric;metric.specific;disturbance;disturbance.specific;matrix;distance.p.d;time;effect.direction;p.mean;p.sd;p.n;d.mean;d.sd;d.n;hedges.g*
67;4;CA;p;trees >5 cm dbh, dye and tannins use category;;;;for;Mean density (stems/ha);sec;second growth;NA;NA;15;p;92.04;23.05359625;3;138.63;70.23489517;5;-0.688167535
68;4;CA;p;trees >5 cm dbh, resins use category;;;;for;Mean density (stems/ha);sec;second growth;NA;NA;15;p;49.95;19.84930225;3;15.96;6.618761213;5;2.33273735
69;4;CA;p;trees >5 cm dbh, matchstick use category;;;;for;Mean density (stems/ha);sec;second growth;NA;NA;15;p;31.52;24.97617265;3;80.32;55.3874038;5;-0.893985594
70;4;CA;p;trees >5 cm dbh, box and crate use category;;;;for;Mean density (stems/ha);sec;second growth;NA;NA;15;p;40.81;27.52228733;3;65.58;21.48861326;5;-0.909924347
71;4;CA;p;trees >5 cm dbh, cordage use category;;;;for;Mean density (stems/ha);sec;second growth;NA;NA;15;p;0.56;1.922576396;3;19.juni;14.0425069;5;-1.396526472
72;4;CA;p;trees >5 cm dbh, charcoal use category;;;;for;Mean density (stems/ha);sec;second growth;NA;NA;15;p;33.51;6.39126748;3;17.26;11.56047144;5;1.394260796
73;4;CA;p;trees >5 cm dbh, fencepost use category;;;;for;Mean density (stems/ha);sec;second growth;NA;NA;15;p;16.55;7.690305586;3;juni.21;4.136725758;5;1.611719329
74;4;CA;p;trees >5 cm dbh, thatch use category;;;;for;Mean density (stems/ha);sec;second growth;NA;NA;15;p;58.73;24.33531385;3;03.mars;2.482035455;5;3.395465135
75;4;CA;p;trees <5 cm dbh, construction use category;;;;for;Mean density (stems/ha);sec;second growth;NA;NA;15;d;2838.2;991.5990873;3;2036.2;567.0668391;5;-0.94716075
76;4;CA;p;trees <5 cm dbh, medicine use category;;;;for;Mean density (stems/ha);sec;second growth;NA;NA;15;d;2149.9;240.7550623;3;3491.1;841.2087731;5;1.664261007
77;4;CA;p;trees <5 cm dbh, thatch use category;;;;for;Mean density (stems/ha);sec;second growth;NA;NA;15;d;1510.7;1119.251232;3;299.8;164.3509963;5;-1.595421743
78;4;CA;p;trees <5 cm dbh, firewood use category;;;;for;Mean density (stems/ha);sec;second growth;NA;NA;15;d;1182.3;85.04369465;3;1419.2;347.4849637;5;0.71543301
79;4;CA;p;trees <5 cm dbh, crafts use category;;;;for;Mean density (stems/ha);sec;second growth;NA;NA;15;d;1164.8;311.5959403;3;1565.2;548.9546885;5;0.720894287
80;4;CA;p;trees <5 cm dbh, food use category;;;;for;Mean density (stems/ha);sec;second growth;NA;NA;15;d;1114.5;354.2043901;3;1392.3;621.8505045;5;0.44131609
81;4;CA;p;trees <5 cm dbh, timber use category;;;;for;Mean density (stems/ha);sec;second growth;NA;NA;15;d;532.6;84.87048957;3;933.1;457.2759014;5;0.924833935
82;4;CA;p;trees <5 cm dbh, tool handle use category;;;;for;Mean density (stems/ha);sec;second growth;NA;NA;15;d;434.3;126.2665039;3;361.4;101.0702726;5;-0.575701012
83;4;CA;p;trees <5 cm dbh, dye and tannins use category;;;;for;Mean density (stems/ha);sec;second growth;NA;NA;15;d;167.4;28.40563324;3;354.2;137.7417874;5;1.429189802
84;4;CA;p;trees <5 cm dbh, resins use category;;;;for;Mean density (stems/ha);sec;second growth;NA;NA;15;d;154;37.41229744;3;211.5;126.3378407;5;0.474421026
85;4;CA;p;trees <5 cm dbh, box and crate use category;;;;for;Mean density (stems/ha);sec;second growth;NA;NA;15;d;140.7;88.85420643;3;196.1;112.4742193;5;0.45796245
86;4;CA;p;trees <5 cm dbh, charcoal use category;;;;for;Mean density (stems/ha);sec;second growth;NA;NA;15;d;105.7;10.73871501;3;122.2;139.9778554;5;0.125352882
87;4;CA;p;trees <5 cm dbh, fencepost use category;;;;for;Mean density (stems/ha);sec;second growth;NA;NA;15;d;96.5;23.20948082;3;58.5;32.19937888;5;-1.119789835
88;4;CA;p;trees <5 cm dbh, matchstick use category;;;;for;Mean density (stems/ha);sec;second growth;NA;NA;15;d;66.7;39.14434825;3;52.4;55.00727225;5;-0.247316504
89;4;CA;p;trees <5 cm dbh, cordage use category;;;;for;Mean density (stems/ha);sec;second growth;NA;NA;15;d;17.mai;19.39896904;3;79.1;50.31152949;5;1.258030459
90;4;CA;p;woody species;;;;for;Tree Basal Area (m^2/ha);sec;second growth;NA;NA;15;p;30.juni;2.542308662;3;32.4;3.29772649;5;-0.510396975
91;4;CA;p;woody species;;;;abu;Tree Density (no./ha);sel;selectively logged forest;NA;NA;12;p;928;76.53975002;3;979;10.60660172;2;-0.590678318
92;4;CA;p;trees, medicinal use category;;;;com;Mean relative abundance;sel;selectively logged forest;NA;NA;12;p;0.47;0.069282032;3;0.55;0.042426407;2;-0.943833726
93;4;CA;p;tree saplings, medicinal use category;;;;com;Mean relative abundance;sel;selectively logged forest;NA;NA;12;d;0.35;0.08660254;3;0.38;0.070710678;2;0.267217064
94;4;CA;p;tree seedlings, medicinal use category;;;;com;Mean relative abundance;sel;selectively logged forest;NA;NA;12;d;0.51;0.069282032;3;0.59;0.056568542;2;0.890723548
95;4;CA;p;trees, timber use category;;;;com;Mean relative abundance;sel;selectively logged forest;NA;NA;12;p;0.21;0.051961524;3;0.25;0.028284271;2;-0.639914687
96;4;CA;p;tree saplings, timber use category;;;;com;Mean relative abundance;sel;selectively logged forest;NA;NA;12;d;0.08;0.017320508;3;0.1;0.042426407;2;0.514259477
97;4;CA;p;tree seedlings, timber use category;;;;com;Mean relative abundance;sel;selectively logged forest;NA;NA;12;d;0.2;0.051961524;3;0.23;0.042426407;2;0.445361773
98;4;CA;p;tree seedlings <1 m dbh, firewood use category;;;;dem;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;p;8747.2;2053.692643;3;8970.9;1613.617675;2;-0.084812075
99;4;CA;p;tree seedlings <1 m dbh, medicine use category;;;;dem;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;p;7293.1;2092.317376;3;9082.8;1708.369983;2;-0.659821161
100;4;CA;p;tree seedlings <1 m dbh, construction use category;;;;dem;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;p;6510.1;2053.519437;3;6308.7;664.3975316;2;0.085158043
101;4;CA;p;tree seedlings <1 m dbh, food use category;;;;dem;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;p;3042.5;697.4968602;3;3087.2;1455.367177;2;-0.032026473
102;4;CA;p;tree seedlings <1 m dbh, timber use category;;;;dem;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;p;2349;2131.115314;3;3467.6;221.4658439;2;-0.466274238
103;4;CA;p;tree seedlings <1 m dbh, crafts use category;;;;dem;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;p;2304.3;387.4597657;3;1991.1;158.1090763;2;0.691786291
104;4;CA;p;tree seedlings <1 m dbh, thatch use category;;;;dem;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;p;1342.3;464.8824368;3;1923.9;1107.329219;2;-0.568900685
105;4;CA;p;tree seedlings <1 m dbh, dye and tannins use category;;;;dem;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;p;2170;968.7360167;3;2997.8;379.5749201;2;-0.733504473
106;4;CA;p;tree seedlings <1 m dbh, tool handle use category;;;;dem;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;p;750.5;74.47818473;3;730.1;211.0006635;2;0.108966006
107;4;CA;p;tree seedlings <1 m dbh, resins use category;;;;dem;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;p;445.8;410.8424516;3;621.7;118.5110965;2;-0.373664718
108;4;CA;p;tree seedlings <1 m dbh, box and crate use category;;;;dem;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;p;229;138.2176544;3;177.9;187.9489824;2;0.237376384
109;4;CA;p;tree seedlings <1 m dbh, charcoal use category;;;;dem;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;p;206.5;88.68100135;3;135;31.81980515;2;0.696099716
110;4;CA;p;tree seedlings <1 m dbh, fencepost use category;;;;dem;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;p;188.1;120.5507362;3;310.8;216.9403605;2;-0.560183166
111;4;CA;p;tree seedlings <1 m dbh, matchstick use category;;;;dem;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;p;112.5;67.20357133;3;90;60.66976183;2;0.251367176
112;4;CA;p;tree seedlings <1 m dbh, cordage use category;;;;dem;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;p;40.9;77.94228634;3;464.2;341.2497326;2;-1.486905552
113;4;CA;p;woody species;;;;dem;Sapling density (no./ha);sel;selectively logged forest;NA;NA;12;d;6338;1307.080334;3;6500;910.0464274;2;0.099044155
114;4;CA;p;woody species;;;;dem;Seedling density (no./ha);sel;selectively logged forest;NA;NA;12;d;14279;2620.248143;3;15684;4549.52503;2;0.301625739
115;4;CA;p;trees, >30 cm dbh high quality timber species;;;;for;Mean basal area (m^2/ha);sel;selectively logged forest;NA;NA;12;p;03.mars;2.407550623;3;0.46;0.650538239;2;0.933930819
116;4;CA;p;trees, 10-30 cm dbh high quality timber species;;;;for;Mean basal area (m^2/ha);sel;selectively logged forest;NA;NA;12;p;0.3;0.103923048;3;0.29;0.212132034;2;0.04881135
117;4;CA;p;trees, >30 cm dbh low to moderate quality timber species;;;;for;Mean basal area (m^2/ha);sel;selectively logged forest;NA;NA;12;p;nov.42;1.472243186;3;15.37;0.282842712;2;-2.368043473
118;4;CA;p;trees, 10-30 cm dbh low to moderate quality timber species;;;;for;Mean basal area (m^2/ha);sel;selectively logged forest;NA;NA;12;p;jan.86;0.744781847;3;feb.23;0.650538239;2;-0.376482889
119;4;CA;p;trees >5 cm dbh, medicine use category;;;;for;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;p;433.45;73.49091577;3;542.41;41.71930009;2;-1.225563794
120;4;CA;p;trees >5 cm dbh, construction use category;;;;for;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;p;470.6;25.58239043;3;441.25;46.95189027;2;0.623738278
121;4;CA;p;trees >5 cm dbh, timber use category;;;;for;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;p;196.09;35.12599038;3;247.85;23.47594514;2;-1.186685721
122;4;CA;p;trees >5 cm dbh, firewood use category;;;;for;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;p;334.66;28.78668442;3;410.4;5.246732316;2;-2.324338835
123;4;CA;p;trees >5 cm dbh, crafts use category;;;;for;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;p;263;57.52140732;3;189.36;26.10638236;2;1.085777869
124;4;CA;p;trees >5 cm dbh, food use category;;;;for;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;p;268.8;28.76936391;3;237.58;39.13128927;2;0.696668771
125;4;CA;p;trees >5 cm dbh, tool handle use category;;;;for;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;p;84.63;19.20844346;3;79.23;18.28578136;2;0.207727436
126;4;CA;p;trees >5 cm dbh, dye and tannins use category;;;;for;Mean density (stems/ha);sel;selectively logged forest;NA;NA;12;p;92.04;23.05359625;3;97.61;20.39295957;2;-0.182455527
